sku,name,upc,item_order,brand,brand_abbrev,brand_order,unit_price,qty_display,image_path,section,section_order,group_title,group_order,verified,category
CH110612,Rinse Out Leave In Deep Conditioner,'034285106126,22,Africa's Best,ABE,1,2.35,355ml,pages/chemical-upc-v3/CH110612.jpg,,,,,no,Chemical
CH122812,Originals Olive Oil Moisturizing Growth Lotion,'034285228125,30,Africa's Best,ABE,1,3.09,12oz,pages/chemical-upc-v3/CH122812.jpg,,,,,no,Chemical
CH124601-6,S Organics Olive Oil Conditioning Relaxer System Regular,'034285246013,8,Africa's Best,ABE,1,6.99,471g,pages/chemical-upc-v3/CH124601-6.jpg,,,,,no,Chemical
CH124701-6,Organics Olive Oil Conditioning Relaxer System No-Lye Super Value Pack,'034285247010,4,Africa's Best,ABE,1,6.99,,pages/chemical-upc-v3/CH124701-6.jpg,,,,,no,Chemical
CH124906,Organics Originals Olive Oil Leave-In Conditioner,'034285249069,20,Africa's Best,ABE,1,2.79,6oz,pages/chemical-upc-v3/CH124906.jpg,,,,,no,Chemical
CH125012,"Organics Olive Oil Shampoo, For All Hair Types",'034285250126,10,Africa's Best,ABE,1,3.47,12oz,pages/chemical-upc-v3/CH125012.jpg,,,,,no,Chemical
CH110212,Braid Sheen Spray With Conditioner,'034285500122,12,Africa's Best,ABE,1,2.90,12oz,pages/chemical-upc-v3/CH110212.jpg,,,,,no,Chemical
CH111508,Ultimate Herbal Oil,'034285504120,42,Africa's Best,ABE,1,2.99,12oz,pages/chemical-upc-v3/CH111508.jpg,,,,,no,Chemical
CH111012,"Instant Oil Moisturizer, Green",'034285508128,40,Africa's Best,ABE,1,2.11,12oz,pages/chemical-upc-v3/CH111012.jpg,,,,,no,Chemical
CH110412,Instant Detangling Conditioner,'034285521127,18,Africa's Best,ABE,1,2.19,12oz,pages/chemical-upc-v3/CH110412.jpg,,,,,no,Chemical
CH111201,"Relaxer System, No Lye, Herbal Intensive, Dual Conditioning, Regular",'034285530006,7,Africa's Best,ABE,1,4.09,299g,pages/chemical-upc-v3/CH111201.jpg,,,,,no,Chemical
CH111301,"No Lye Relaxer System, Dual Conditioning, Super, Herbal Intensive",'034285531003,3,Africa's Best,ABE,1,4.09,,pages/chemical-upc-v3/CH111301.jpg,,,,,no,Chemical
CH120208,Organics Carrot Oil Cream,'034285535087,41,Africa's Best,ABE,1,2.69,7.5oz,pages/chemical-upc-v3/CH120208.jpg,,,,,no,Chemical
CH120604,Hair Therapy Organics Fertilizer,'034285536046,33,Africa's Best,ABE,1,2.99,,pages/chemical-upc-v3/CH120604.jpg,,,,,no,Chemical
CH120306,Originals Organics Carrot Tea Tree Oil Therapy,'034285537067,31,Africa's Best,ABE,1,2.76,6oz,pages/chemical-upc-v3/CH120306.jpg,,,,,no,Chemical
CH120804,Organics Herbal Tea Tree Gro,'034285538040,27,Africa's Best,ABE,1,2.79,4oz,pages/chemical-upc-v3/CH120804.jpg,,,,,no,Chemical
