sku,name,unit_price,qty_display,bullets,upc,section,section_order,group_title,group_order,item_order
3ANN5909,H&H Ceramic Ionic Turbo 3000 Hair Dryer Black & Rose Gold,17.25,3pc/12pc,Smooth results 50% faster vs. leading dryer | Ceramic Ionic Function | 3 Heat settings & cool shot button | High power super quiet | Concentrator & hair pik attachments included | Hanging Loop | 120V,705372059099,ELECTRICAL & THERMAL,1,HAIR DRYER,1,1
3ANN5903,H&H Ceramic Ionic 1875 Hair Dryer Grey,17.25,3pc/12pc,Smooth results 35% faster vs. leading dryer | Ceramic Ionic Function | 6 Speed and Heat Settings | Quiet Powerful Motor | Lightweight / Ergonomic Design | Concentrator & hair pik attachments included | Hanging Loop | 1875W | 120V,705372059037,ELECTRICAL & THERMAL,1,HAIR DRYER,1,2
3ANN5904,H&H Ceramic Ionic 1875 Hair Dryer Purple,17.25,3pc/12pc,Smooth results 35% faster vs. leading dryer | Ceramic Ionic Function | 6 Speed and Heat Settings | Quiet Powerful Motor | Lightweight / Ergonomic Design | Concentrator & hair pik attachments included | Hanging Loop | 1875W | 120V,705372059044,ELECTRICAL & THERMAL,1,HAIR DRYER,1,3
3ANN5907,H&H Mini Pro Turbo 2000 Hair Dryer Grey & Purple,11.49,3pc/24pc,High power motor | 3 heats / speeds settings | Ceramic ionic grill for even heat and reduced frizz | Cool shot to set your style | Styling pik & concentrator nozzle | Hanging loop | Mini and lightweight design perfect for travel,705372059075,ELECTRICAL & THERMAL,1,HAIR DRYER,1,4
3ANN5912,H&H Mini One Step Hair Styler Black & Rose Gold,17.25,3pc/12pc,"Small size perfect for travel | Ceramic Ionic technology: obtain fast results, eliminating static and frizz, making the hair smoother | Tangle-free combination bristles: includes nylon bristles with round tips for rapid detangling and wild boar bristles that naturally condition the hair, reduce frizz, and create shine | Oval design with cool tip to straighten and create volume | Unique airflow vents design for faster drying | Ceramic coating: helps protect the hair by providing even heat distribution | Professional tangle-free swivel cord | Multiple heat settings | 600W | 120V",705372059129,ELECTRICAL & THERMAL,1,HAIR DRYER,1,5
3ANN5906,H&H 2 in 1 Hair Styler Dryer,18.39,3pc/12pc,"2 in 1 design, the power of a dryer in a brush | Soft cushion detangling bristles and large vent holes allows hair to dry quickly | Removable cushion pad makes cleaning quick and easy | Ceramic ionic technology | 3 Heat settings | Tangle-free cord | 1000W | 120V",705372059068,ELECTRICAL & THERMAL,1,HAIR DRYER,1,6
3ANN5948,H&H Heated Straightening Brush White,17.25,3pcs/12pcs,"Straightens hair 2 times faster than a flat iron | Tourmaline plated bristles provide even heat | Over 430°F high heat | Creates negative irons for shiny, frizz-free hair | 360° Swivel cord for easy styling",705372059488,ELECTRICAL & THERMAL,1,HEAT BRUSH,2,1
3ANN5908,H&H One Step Hair Styler & Dryer Black & Gold,19.50,3pc/12pc,"Ceramic Ionic technology: obtain fast results, eliminating static and frizz, making the hair smoother | Tangle-free combination bristles: includes nylon bristles with round tips for rapid detangling and wild boar bristles that naturally condition the hair, reduce frizz, and create shine | Oval design with cool tip to straighten and create volume | Unique airflow vents design for faster drying | Ceramic coating: helps protect the hair by providing even heat distribution | Professional tangle-free swivel cord | Multiple heat settings | 1200W | 120V",705372059082,ELECTRICAL & THERMAL,1,HAIR DRYER,1,7
5912,H&H Mini One Step Hair Styler Black & Rose Gold,,3pc/12pc,"Small size perfect for travel | Ceramic Ionic technology: obtain fast results, eliminating static and frizz, making the hair smoother | Tangle-free combination bristles: includes nylon bristles with round tips for rapid detangling and wild boar bristles that naturally condition the hair, reduce frizz, and create shine | Oval design with cool tip to straighten and create volume | Unique airflow vents design for faster drying | Ceramic coating: helps protect the hair by providing even heat distribution | Professional tangle-free swivel cord | Multiple heat settings | 600W | 120V",705372059129,ELECTRICAL & THERMAL,1,HAIR DRYER,1,8
3ANN5803,H&H Professional Turbo 1875 AC Hair Dryer,19.55,3pc/12pc,Ceramic Ionic Function | Wide Air Inlet and Outlet | 3 Adjustable Power Settings | Convenient Cool Shot Button | 1875 W,705372058030,ELECTRICAL & THERMAL,1,HAIR DRYER,1,9
1AN5800,H&H Hair Dryer Attachment For #5803 Black,,12pc/72pc,"Attachment for hair dryer #5803 | Lifts, shapes and smooths hair as you dry",705372058009,ELECTRICAL & THERMAL,1,HAIR DRYER,1,10
3ANN5916,H&H Hood Hair Dryer Black & White,36.25,1pc/4pc,Extra large hood to accommodate large rollers | Adjustable column | 360° even heat | 3 Heat settings | Ceramic ionic technology | Easy fold-up and fancy carrying case | Provides excellent overall coverage for smooth and even drying | 1875W | 120V,705372059167,ELECTRICAL & THERMAL,1,HAIR DRYER,1,11
3ANN5840,H&H Stand Hair Dryer Black,119.55,1pc,Ceramic Ionic Function | 3 Temperature Settings | 60 Minute Timer | Durable stand with adjustable height extension | Built-in airflow diffuser for adjustable circulation | Heavy-duty spin lock | 1300W | 120V,705372058252,ELECTRICAL & THERMAL,1,HAIR DRYER,1,12
1AN2970,H&H Heat Cap Dryer Attachment 100Cm Red,6.95,6pc/48pc,Great for hair conditioning services and treatments | Control the temperature by covering air vents | Hand washable | Perfect for travel | Fits most hair dryers | Extra long tube (100cm) | Free dryer holder included,705372029702,ELECTRICAL & THERMAL,1,HAIR DRYER ATTACHMENTS,3,1
3ANN2971,H&H Super Jumbo Heat Cap Dryer Attachment Black,7.49,3pc/24pc,Super Jumbo Size | Fitting big rollers | Great for hair conditioning services and treatments | Control the temperature by covering air vents | Hand washable | Perfect for travel | Fits most hair dryers | Extra long tube (100cm) | Free dryer holder included,705372029719,ELECTRICAL & THERMAL,1,HAIR DRYER ATTACHMENTS,3,2
1AN2993-6,Annie Large Finger Diffuser Black,5.75,6pc/24pc,Gently dries hair for soft and easy style | Fits most hand-held dryers,705372029931,ELECTRICAL & THERMAL,1,HAIR DRYER ATTACHMENTS,3,3
1AN3000,Annie Screw Tighten Hair Dryer Pik Black,2.05,1dz/10dz,"Lifts, shapes and smooths hair as you dry | Universal fit for most hand-held dryers",705372030005,ELECTRICAL & THERMAL,1,HAIR DRYER ATTACHMENTS,3,4
1AN3001,Annie Snap On Hair Dryer Pik Black,1.75,1dz/10dz,"Lifts, shapes and smooths hair as you dry | Universal fit for most hand-held dryers",705372030012,ELECTRICAL & THERMAL,1,HAIR DRYER ATTACHMENTS,3,5
1AN3002,Annie Turbo Snap-On Hair Dryer Pik Black,2.29,1dz/10dz,"Lifts, shapes and smooths hair as you dry | Universal fit for most hand-held dryers",705372030029,ELECTRICAL & THERMAL,1,HAIR DRYER ATTACHMENTS,3,6
1AN2987,Annie Universal Fit Hair Dryer Nozzle Black,2.29,1dz/10dz,"Lifts, shapes and smooths hair as you dry | Universal fit for almost all hair dryers",705372029870,ELECTRICAL & THERMAL,1,HAIR DRYER ATTACHMENTS,3,7
1AN2999,Annie Extra Super Hair Dryer Pik Black,2.89,1dz/5dz,"Lifts, shapes and smooths hair as you dry | Universal fit for most hand-held dryers",705372029993,ELECTRICAL & THERMAL,1,HAIR DRYER ATTACHMENTS,3,8
3ANN5894,H And H Extra Long Titanium Flat Iron 1” Red,17.25,3pc/12pc,Titanium plates protect hair and provide fast even heat distribution | Temperature Controller | Tangle free cord | 120V,705372058948,ELECTRICAL & THERMAL,1,FLAT IRON,4,1
3ANN5988,H&H 3 Barrel Waver 3/4” Hot Pink,15.00,3pc/12pc,3/4” Barrels for “S” waves,705372059884,ELECTRICAL & THERMAL,1,FLAT IRON,4,2
3ANN5987,H&H 3 Barrel Wave Iron Hot Pink,15.00,3pc/12pc,1” Barrels for large “S” waves,705372059877,ELECTRICAL & THERMAL,1,FLAT IRON,4,3
3ANN5872,H&H Gold Ceramic Electrical Flat Iron 1/2” On/Off Black,9.49,3pc/24pc,1/2” Wide plates | 120V,705372058726,ELECTRICAL & THERMAL,1,FLAT IRON,4,4
3ANN5871,H&H Gold Ceramic Electrical Flat Iron 1” On/Off Black,9.49,3pc/24pc,1” Wide plates | 120V,705372058719,ELECTRICAL & THERMAL,1,FLAT IRON,4,5
3ANN5873,H&H Value Combo Gold Ceramic Flat Iron On/Off Black,14.95,3pc/12pc,"Includes 1” flat iron, 1/2” flat iron | Includes Free Travel Pouch",705372058733,ELECTRICAL & THERMAL,1,FLAT IRON,4,6
3ANN5920,H&H Gold Ceramic Flat Iron 1” Black,8.05,3pc/24pc,1” Wide plates,705372059204,ELECTRICAL & THERMAL,1,FLAT IRON,4,7
